DATE,Commulative cases and Deaths,,Commulative deaths
2020-06-11,286579,,8102
2020-06-12,297535,,8498
2020-06-13,308993,,8884
2020-06-14,320922,,9195
2020-06-15,332424,,9520
2020-06-16,343091,,9900
2020-06-17,354065,,11903
2020-06-18,366946,,12237
2020-06-19,380532,,12573
2020-06-20,395048,,12948
2020-06-21,410461,,13254
2020-06-22,425282,,13699
2020-06-23,440215,,14011
2020-06-24,456183,,14476
2020-06-25,473105,,14894
2020-06-26,490401,,15301
2020-06-27,508953,,15685
2020-06-28,528859,,16095
2020-06-29,548318,,16475
2020-06-30,566840,,16893
2020-07-01,585493,,17400
2020-07-02,604641,,17834
2020-07-03,625544,,18213
2020-07-04,648315,,18655
2020-07-05,673165,,19268
2020-07-06,697413,,19693
2020-07-07,719665,,20160
2020-07-08,742417,,20642
2020-07-09,767296,,21129
2020-07-10,793802,,21604
2020-07-11,820916,,22123
2020-07-12,849553,,22674
2020-07-13,878254,,23174
2020-07-14,906752,,23727
2020-07-15,936181,,24309
2020-07-16,968876,,24915
2020-07-17,1003832,,25602
2020-07-18,1038716,,26273
2020-07-19,1077618,,26816
2020-07-20,1118043,,27497
2020-07-21,1155191,,28084
2020-07-22,1192915,,28732
2020-07-23,1238635,,29861
2020-07-24,1287945,,30601
2020-07-25,1336861,,31358
2020-07-26,1385522,,32063
2020-07-27,1435453,,32771
2020-07-28,1483156,,33425
2020-07-29,1531669,,34193
2020-07-30,1583792,,34968
2020-07-31,1638870,,35747
2020-08-01,1695988,,36511
2020-08-02,1750723,,37364
2020-08-03,1803695,,38135
2020-08-04,1855745,,38938
2020-08-05,1908254,,39795
2020-08-06,1964536,,40699
2020-08-07,2027074,,41585
2020-08-08,2088611,,42518
2020-08-09,2153010,,43379
2020-08-10,2215074,,44386
2020-08-11,2268675,,45257
2020-08-12,2329638,,46091
2020-08-13,2396637,,47033
2020-08-14,2461190,,48040
2020-08-15,2526192,,49036
2020-08-16,2589682,,49980
2020-08-17,2647663,,50921
2020-08-18,2702742,,51797
2020-08-19,2767273,,52889
2020-08-20,2836925,,53866
2020-08-21,2905823,,54849
2020-08-22,2975701,,55794
2020-08-23,3044940,,56706
2020-08-24,3106348,,57542
2020-08-25,3167323,,58390
2020-08-26,3234474,,59449
2020-08-27,3310234,,60472
2020-08-28,3387500,,61529
2020-08-29,3463972,,62550
2020-08-30,3542733,,63498
2020-08-31,3621245,,64469
2020-09-01,3691166,,65288
2020-09-02,3769523,,66333
2020-09-03,3853406,,67376
2020-09-04,3936747,,68472
2020-09-05,4023179,,69561
2020-09-06,4113811,,70626
2020-09-07,4204613,,71642
2020-09-08,4280422,,72775
2020-09-09,4370128,,73890
2020-09-10,4465863,,75062
2020-09-11,4562414,,76271
2020-09-12,4659984,,77472
2020-09-13,4754356,,78586
2020-09-14,4846427,,79722
2020-09-15,4930236,,80776
2020-09-16,5020359,,82066
2020-09-17,5118253,,83198
2020-09-18,5214677,,84372
2020-09-19,5308014,,85619
2020-09-20,5400619,,86752
2020-09-21,5487580,,87882
2020-09-22,5562663,,88935
